Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,,,,,
293,J.KORIN SPINNING PRIVATE LIMITED,South Korea,KYO KEE LEE,AHMEDABAD,Manufacture of other textiles/textile products n.e.c.,5.93,0.09,
294,J.KORIN SPINNING PRIVATE LIMITED,South Korea,LEE DAE RIM,AHMEDABAD,Manufacture of other textiles/textile products n.e.c.,1.00,0.02,
295,Y.G.CUTTING TOOLS CORPORATION PRIVATE LI,South Korea,Y.G-1 CO LTD,BANGALORE,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc",13.65,0.21,
296,KISCO INDIA PRIVATE LIMITED,South Korea,Sung Yong Cho,CHANDIGARH`,Manufacture of dyes and pigments from any source in basic form or as concentrate,0.01,0.00,
297,"DAECHANG INDIA SEAT CO., LTD.,",South Korea,DAECHANG SEAT CO LIMITED,CHENNAI,Manufacture of car seats,135.03,2.12,
298,KISCO INDIA PRIVATE LIMITED,South Korea,Roy Stones,CHANDIGARH`,Manufacture of dyes and pigments from any source in basic form or as concentrate,0.01,0.00,
299,BTN INSULO INDIA PRIVATE LIMITED,South Korea,Korea Insulo Ind. Co. Ltd.,NEW DELHI,Human resources provision and management of human resources functions,0.81,0.01,
300,BTN INSULO INDIA PRIVATE LIMITED,South Korea,Yeungki Kim,NEW DELHI,Human resources provision and management of human resources functions,0.01,0.00,
301,BTN INSULO INDIA PRIVATE LIMITED,South Korea,Keel Ryol Liu,NEW DELHI,Human resources provision and management of human resources functions,0.01,0.00,
302,BTN INSULO INDIA PRIVATE LIMITED,South Korea,M/s Korea Insulo Ind Co. Ltd,NEW DELHI,Human resources provision and management of human resources functions,0.09,0.00,
303,KISCO INDIA PRIVATE LIMITED,South Korea,Kyung Synthetic Corp,CHANDIGARH`,Manufacture of dyes and pigments from any source in basic form or as concentrate,0.49,0.01,
304,SANDHAR HAN SUNG TECHNOLOGIES PRIVATE LI,South Korea,Hansung IMP CO lTD,NEW DELHI,Manufacture of other plastics products n.e.c.,12.49,0.20,
305,ETOOS ACADEMY PVT LTD,South Korea,ETOOS EDUCATION COMPANY LIMITED,NEW DELHI,Other educational services n.e.c.,8.72,0.14,
306,ETOOS ACADEMY PVT LTD,South Korea,ETOOS EDUCATION COMPANY LIMITED,NEW DELHI,Other educational services n.e.c.,12.94,0.20,
307,ERAE ENGINEERING PVT LTD,South Korea,United Pacific PLG,MUMBAI,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust",3.07,0.05,
308,ERAE ENGINEERING PVT LTD,South Korea,Yoon Seo Kyung,MUMBAI,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust",0.62,0.01,
309,VAS DATA SERVICES (P) LTD,Luxembourg,Capricorn S.A. Sicav - SIF,NEW DELHI,Manufacture of all types of textile garments and clothing accessories,14.54,0.23,
310,M/S ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN India Sarl,NEW DELHI,Electric power generation using solar energy,177.60,2.78,
311,CORIANT INDIA PRIVATE LIMITED,Luxembourg,Coriant International SARL,NEW DELHI,Manufacture of optical instruments and equipment,0.10,0.00,
312,CORIANT INDIA PRIVATE LIMITED,Luxembourg,Xieon Networks Solutions SARL,NEW DELHI,Manufacture of optical instruments and equipment,0.00,0.00,
313,VIBER MEDIA INDIA PRIVATE LIMITED,Luxembourg,Viber Media Limited,NEW DELHI,Other business support service activities n.e.c.,0.01,0.00,
314,M/S AWC FACILITIES MANAGEMENT  (INDIA) P,Malaysia,AWC FACILITIES ENGINEERING SDN BHD,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,5.00,0.08,
315,KFCH RESTAURANTS PVT LTD (MUMBAI CHICKEN,Malaysia,MAURITIUS FOOD CORPORATION PVT LTD,MUMBAI,Restaurants without bars,78.77,1.23,
316,JETPUR SOMNATH TOLLWAYS PVT LTD,Malaysia,PLUS EXPRESSWAYS INTERNATIONAL BERHAD,MUMBAI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",46.80,0.73,
317,WIZARDS MANAGEMENT SERVICES PVT LTD(VGLO,Malaysia,V INTERNATIONAL TRADING SDN BHD,BANGALORE,Management consultancy activities,0.55,0.01,
318,SUNCHIRIN AUTOPARTS INDIA PRIVATE LIMITE,Malaysia,SUNCHIRIN CORPORATION SDN BHD,BANGALORE,Other specialized design activities n.e.c.,6.20,0.10,
319,SUNCHIRIN AUTOPARTS INDIA PRIVATE LIMITE,Malaysia,SUNCHIRIN CORPORATION SDN BHD,BANGALORE,Other specialized design activities n.e.c.,6.00,0.09,
320,ELKEN INTERNATIONAL INDIA (P) LTD,Malaysia,ELKEN INTERNATIONAL INC PTE LTD,BANGALORE,Manufacture of other non-alcoholic beverages n.e.c.,24.98,0.39,
321,ZOMATO MEDIA PRIVATE LIMITED,Mauritius,VY Investments Mauritius Limited,NEW DELHI,Advertising,435.17,6.82,
322,JASPER INFOTECH PVT LTD,Mauritius,KALAARI CAPITAL PARTNERS-II LLC,NEW DELHI,Other information technology and computer service activities n.e.c,185.78,2.91,
323,ETECHACES MARKETING AND CONSULTING PVT.L,Mauritius,ABG Capital,NEW DELHI,Combined office administrative service activities,0.65,0.01,
,,,,,,,,
324,ETECHACES MARKETING AND CONSULTING PVT.L,Mauritius,ABG Capital,NEW DELHI,Combined office administrative service activities,188.09,2.95,
325,TRUCKSFIRST SERVICES PRIVATE LIMITED,Mauritius,SAIF PARTNERS INDIA V LTD,NEW DELHI,Motorised road freight transport,12.14,0.19,
326,TRUCKSFIRST SERVICES PRIVATE LIMITED,Mauritius,SAIF PARTNERS INDIA V LTD,NEW DELHI,Motorised road freight transport,605.76,9.49,
327,IMMA WEB PRIVATE LIMITED,Mauritius,Lightspeed Venture Partners X,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.23,0.00,
328,JASPER INFOTECH PVT LTD,Mauritius,BACCASNAPDEAL MAURITIUS PVT LTD,NEW DELHI,Other information technology and computer service activities n.e.c,61.82,0.97,
329,VIPUL GOODSERVICE PRIVATE LIMITED,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENT IV,NEW DELHI,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for,0.24,0.00,
330,CRYSTAL CITY DEVELOPERS PVT LTD ( EAR:UP,Mauritius,Anna Holdings (mauritius) Limited,NEW DELHI,Other specialized construction activities,5.00,0.08,
331,INDORIENT FINANCIAL SERVICES LIMITED,Mauritius,UNITED CAPITAL PARTNERS (M) LTD.,NEW DELHI,Activities auxiliary to financial service activities n.e.c.,32.61,0.51,
332,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Lightspeed venture partners IX Mauritius,NEW DELHI,Activities of travel agents and tour operators,97.81,1.53,
333,ORAVEL STAYS PRIVATE LIMITED,Mauritius,DSG Consumer Partners,NEW DELHI,Activities of travel agents and tour operators,24.37,0.38,
334,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Sequoia Capital India Investments IX,NEW DELHI,Activities of travel agents and tour operators,257.55,4.04,
,,,,,,,,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
335,ALTUS LEARNING PRIVATE LIMITED (EAR: CAL,Mauritius,KAIZEN PRIVATE EQUITY,NEW DELHI,Educational support services,90.00,1.41,
336,JASPER INFOTECH PVT LTD,Mauritius,NEXUS OPPORTUNITY FUND LIMITED,NEW DELHI,Other information technology and computer service activities n.e.c,929.68,14.57,
337,JASPER INFOTECH PVT LTD,Mauritius,NEXUS INDIA,NEW DELHI,Other information technology and computer service activities n.e.c,259.97,4.07,
338,CRYSTAL CITY DEVELOPERS PVT LTD ( EAR:UP,Mauritius,Anna Holdings(Mauritius)Limited,NEW DELHI,Other specialized construction activities,146.00,2.29,
339,ESCIENTIA ADVANCED SCIENCES PRIVATE LIMI,Mauritius,Escientia Life Sciences,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",121.00,1.90,
340,OSTRO DHAR WIND PRIVATE LIMITED,Mauritius,ostro renewable power ltd,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
341,JASPER INFOTECH PVT LTD,Mauritius,Dunearn Investments (Maurtius ) Pte Ltd.,NEW DELHI,Other information technology and computer service activities n.e.c,"1,053.58",16.51,
342,BOUTIQUE  HOTELS INDIA PVT LTD,Mauritius,Xander Investment Holding XXIV Ltd,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",45.00,0.71,
343,ZEN LEFIN PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LIMITED,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",344.76,5.40,
344,ZEN LEFIN PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",284.99,4.47,
345,ZEN LEFIN PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.01,0.00,
346,MEMG INTERNATIONAL INDIA PVT LTD,Mauritius,MANIPAL RESEARCH AND MANAGEMENT SERVICES,BANGALORE,Management consultancy activities,503.97,7.90,
347,DISTRIBUTION LOGISTICS INFRASTRUCTURE PV,Mauritius,DISTRIBUTION AND LOGISTICS INFRASTRUCTUR,BANGALORE,Other sea and coastal water transport n.e.c.,443.30,6.95,
348,FASHIONARA ENTERPRISES PVT LTD,Mauritius,SIX DEGREES OF FASHION,BANGALORE,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,",8.82,0.14,
349,DISTRIBUTION LOGISTICS INFRASTRUCTURE PV,Mauritius,DISTRIBUTION AND LOGISTICS INFRASTRUCTUR,BANGALORE,Other sea and coastal water transport n.e.c.,60.24,0.94,
350,VALUACCESS SERVICES PVT LTD,Mauritius,VALUACCESS MAURITIUS LIMITED,BANGALORE,Other business support service activities n.e.c.,9.20,0.14,
351,VIDGYOR MEDIA TECHNOLOGIES PRIVATE LIMIT,Mauritius,SEABRIGHT,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",6.17,0.10,
352,JALDHARA TECHNOLOGIES PVT LTD,Mauritius,GREYWATER TECHNOLOGIES MAURITIUS PVT LTD,MUMBAI,"Water collection, treatment and supply",1.53,0.02,
353,ANI TECHNOLOGIES PVT LTD,Mauritius,DST Asia IV,MUMBAI,Other information technology and computer service activities n.e.c,1.59,0.02,
354,STERLING PORT LTD,Mauritius,Niche Investment Holdings Pvt Ltd,MUMBAI,Service activities incidental to water transportation,55.15,0.86,
355,STERLING PORT LTD,Mauritius,Niche Investment Holdings Pvt Ltd,MUMBAI,Service activities incidental to water transportation,12.43,0.19,
356,STERLING PORT LTD,Mauritius,Niche Investment Holdings Pvt Ltd,MUMBAI,Service activities incidental to water transportation,37.41,0.59,
357,STERLING PORT LTD,Mauritius,Niche Investment Holdings Pvt Ltd,MUMBAI,Service activities incidental to water transportation,62.08,0.97,
358,STERLING PORT LTD,Mauritius,Niche Investment Holdings Pvt Ltd,MUMBAI,Service activities incidental to water transportation,164.83,2.58,
359,JASPER INFOTECH PVT LTD,Mauritius,SHALI MAURITIUS PVT LTD,NEW DELHI,Other information technology and computer service activities n.e.c,123.91,1.94,
360,JASPER INFOTECH PVT LTD,Mauritius,BACCASNAPDEAL MAURITIUS PVT LTD,NEW DELHI,Other information technology and computer service activities n.e.c,123.91,1.94,
361,JASPER INFOTECH PVT LTD,Mauritius,KALAARI CAPITAL PARTNERS-II LLC,NEW DELHI,Other information technology and computer service activities n.e.c,123.91,1.94,
362,NATIONAL FLYING TRAINING INSTITUTE PVT L,Mauritius,INTERNATIONAL FLIGHT SCHOOL (MAURITIUS),MUMBAI,Technical and vocational education below the level of higher education except for handicapped,21.64,0.34,
363,TRIPOTO TRAVEL PRIVATE LIMITED,Mauritius,IDG VENTURES INDIA FUND II LLC (IDGVI),NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",0.29,0.00,
364,TRIPOTO TRAVEL PRIVATE LIMITED,Mauritius,IDG VENTURES INDIA FUND II LLC (IDGVI),NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",19.70,0.31,
365,JASPER INFOTECH PVT LTD,Mauritius,SHALI MAURITIUS PVT LTD,NEW DELHI,Other information technology and computer service activities n.e.c,61.82,0.97,
366,GEMS EDUCATION HOLDCO INDIA PRIVATE LIMI,Mauritius,Varkey Invetsments (ONE) Limited,NEW DELHI,Pre-primary education (education preceding the first level),43.33,0.68,
367,IBIBO GROUP PRIVATE LIMITED,Mauritius,MIH INDIA (MAURITIUS) LIMITED,NEW DELHI,Travel agency activities,741.94,11.63,
368,IMMA WEB PRIVATE LIMITED,Mauritius,Lightspeed Venture Partners X,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",147.38,2.31,
369,IMMA WEB PRIVATE LIMITED,Mauritius,Lightspeed Affiliates X,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",7.15,0.11,
370,IMMA WEB PRIVATE LIMITED,Mauritius,Lightspeed Affiliates X,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.23,0.00,
371,KARE PARTNERS GROUP INDIA PVT LTD (AKNC,Mauritius,Kare Partners Mauritius Ltd.,NEW DELHI,Hospital activities,12.00,0.19,
372,OSTRO RANN WIND PRIVATE LIMITED,Mauritius,OSTRO RENEWABLE POWER LIMITED,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
373,SEBACIC INDIA LIMITED,Mauritius,WAYZATA III INDIAN OCEAN LIMITED,AHMEDABAD,Manufacture of other agrochemical products n.e.c.,7.50,0.12,
374,SEBACIC INDIA LIMITED,Mauritius,WAYZATA III INDIAN OCEAN LIMITED,AHMEDABAD,Manufacture of other agrochemical products n.e.c.,25.00,0.39,
375,ZEN LEFIN PVT LTD,Mauritius,ASPADA INVESTMENT COMPANY,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",119.76,1.88,
376,K.R.G. RESORTS AND SPA PRIVATE LIMITED,Mauritius,LAXMANBHAI & COMPANY(MAURITIUS) LTD.,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house includes accommodation in house",1.00,0.02,
377,TKL KNITS (INDIA) PVT LTD,Mauritius,TKL INTERNATIONAL LTD,BANGALORE,Manufacture of all types of textile garments and clothing accessories,0.10,0.00,
378,TKL KNITS (INDIA) PVT LTD,Mauritius,TKL INTERNATIONAL LTD,BANGALORE,Manufacture of all types of textile garments and clothing accessories,99.90,1.57,
379,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,SAAMA CAPITAL II LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",50.40,0.79,
380,BLUESTONE JEWELLERY AND,Mauritius,"KALAARI CAPITAL PARTNERS II, LLC",BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base",210.00,3.29,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIFESTYLE PVT LT,,,,metal metal clad with precious metals,,,
381,HOMEVISTA DECOR & FURNISHINGS PRIVATE LI,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,BANGALORE,"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials",123.27,1.93,
382,SIMPLILEARN SOLUTIONS PRIVATE LIMITED,Mauritius,MAYFIELD INDIA II LTD,BANGALORE,Other information service activities n.e.c.,450.00,7.05,
383,SIMPLILEARN SOLUTIONS PRIVATE LIMITED,Mauritius,"HELION VENTURE PARTNERS III, LLC",BANGALORE,Other information service activities n.e.c.,250.00,3.92,
384,SIMPLILEARN SOLUTIONS PRIVATE LIMITED,Mauritius,"KALAARI CAPITAL PARTNERS II, LLC",BANGALORE,Other information service activities n.e.c.,200.00,3.13,
385,JASPER INFOTECH PVT LTD,Mauritius,SAMMA CAPITAL II,NEW DELHI,Other information technology and computer service activities n.e.c,27.00,0.42,
386,JASPER INFOTECH PVT LTD,Mauritius,DUNEARN INVESTMENT,NEW DELHI,Other information technology and computer service activities n.e.c,"1,859.81",29.15,
387,IREO VICTORY VALLEY COMPANY PVT LTD,Mauritius,INNOPOINT LTD.,NEW DELHI,Other civil engineering projects n.e.c.,46.66,0.73,
388,G.P.REALTORS PVT LTD,Mauritius,AZCO LIMITED,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,107.95,1.69,
389,VIPUL GOODSERVICE PRIVATE LIMITED,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENT IV,NEW DELHI,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for,68.07,1.07,
390,FRONTIER MARKETS CONSULTING PRIVATE LIMI,Mauritius,LESING MAURITIUS LIMITED,NEW DELHI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",3.10,0.05,
391,VANA VIDYUT PRIVATE LIMITED,Mauritius,AAVISHKAAR INDIA II COMPANY LIMITED,CHENNAI,Electric power generation using other non conventional sources,9.95,0.16,
392,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,ACCEL INDIA III (MAURITIUS) LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",117.60,1.84,
393,GEOMYSORE SERVICES (INDIA) PVT LTD,Mauritius,KOLAR GOLD RESOURCES LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",11.89,0.19,
394,E4E BUSINESS SOLUTIONS INDIA PRIVATE LIM,Mauritius,E4E BUSINESS SOLUTIONS LLC,BANGALORE,Other information technology and computer service activities n.e.c,12.42,0.19,
395,ERGOS BUSINESS SOLUTIONS PRIVATE LIMTIED,Mauritius,AAVISHKAAR INDIA II COMPANY LIMITED,BANGALORE,"Other post harvest crop activities, n.e.c.",20.94,0.33,
396,UNIBIC FOODS INDIA PVT. LTD.,Mauritius,BUSI INDIA HOLDINGS LIMITED,BANGALORE,"Manufacture of biscuits, cakes, pastries, rusks etc.",25.28,0.40,
397,UNIBIC FOODS INDIA PVT. LTD.,Mauritius,PEEPUL CAPITAL FUND III LLC,BANGALORE,"Manufacture of biscuits, cakes, pastries, rusks etc.",74.72,1.17,
398,SAANKHYA LABS PRIVATE LIMITED,Mauritius,INTEL CAPITAL (MAURITIUS) LTD,BANGALORE,Providing software support and maintenance to the clients,270.00,4.23,
399,SAANKHYA LABS PRIVATE LIMITED,Mauritius,INTEL CAPITAL (MAURITIUS) LTD,BANGALORE,Providing software support and maintenance to the clients,67.50,1.06,
400,CISCO SYSTEMS CAPITAL (INDIA) PVT LTD,Mauritius,CSI MAURITIUS INC,BANGALORE,Financial leasing,"3,200.00",50.16,
401,SIMPLOTEL TECHNOLOGIES PRIVATE LIMITED,Mauritius,MAKEMYTRIP LIMITED,BANGALORE,Other information technology and computer service activities n.e.c,45.00,0.71,
402,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,ACCEL INDIA III (MAURITIUS) LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.03,0.00,
403,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,ACCEL INDIA III (MAURITIUS) LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",146.97,2.30,
404,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,ACCEL INDIA III (MAURITIUS) LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",53.75,0.84,
405,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,SAAMA CAPITAL II LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",53.75,0.84,
406,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,SAAMA CAPITAL II LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",25.20,0.39,
407,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,"KALAARI CAPITAL PARTNERS II, LLC",BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.04,0.00,
408,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,"KALAARI CAPITAL PARTNERS II, LLC",BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",104.96,1.65,
409,BLUESTONE JEWELLERY AND LIFESTYLE PVT LT,Mauritius,ACCEL INDIA III (MAURITIUS) LIMITED,BANGALORE,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",58.80,0.92,
410,OSTRO MADHYA WIND PRIVATE LIMITED,Mauritius,Ostro Renewable Power Limited,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
411,OSTRO RAJ WIND PRIVATE LIMITED,Mauritius,Ostro Renewable Power Limited,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
412,NEPRA RESOURCE MANAGEMENT PVT LTD,Mauritius,AAVISHKAAR INDIA II COMPANY LIMITED,AHMEDABAD,Collection of non-hazardous waste,24.88,0.39,
,,,,,,,,
413,WHIZDM INNOVATIONS PRIVATE LIMITED,Mauritius,ACCEL INDIA IV (MAURITIUS) LIMITED,BANGALORE,Other information technology and computer service activities n.e.c,30.50,0.48,
414,PUNAM ENERGY PVT. LTD.,Mauritius,Leasing Mauritius Ltd.,KOLKATA,Manufacture of other electrical equipment,2.54,0.04,
415,NUPOWER RENEWABLES PVT LTD,Mauritius,DH RENEWABLES HOLDING LTD,MUMBAI,Electric power generation using other non conventional sources,60.48,0.95,
416,ATITHYA INN PRIVATE LIMITED,Mauritius,Nupur SA Investments LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",30.00,0.47,
417,ATITHYA INN PRIVATE LIMITED,Mauritius,Nupur SA Investments LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",7.49,0.12,
418,ATITHYA INN PRIVATE LIMITED,Mauritius,Nupur SA Investments LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",31.04,0.49,
419,ATITHYA INN PRIVATE LIMITED,Mauritius,Nupur SA Investments LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",14.22,0.22,
420,EBAY INDIA PVT LTD,Mauritius,Baazee.com Pvt. Ltd.,MUMBAI,Other information technology and computer service activities n.e.c,738.72,11.58,
421,VA TECH VENTURES PVT LTD,Mauritius,SEABRIGHT,KOLKATA,Other information technology and computer service activities n.e.c,0.45,0.01,
422,THIESS MINECS INDIA PVT LTD,Mauritius,THIESS(MAURITIUS) PTY LTD,KOLKATA,Opencast mining of hard coal,979.02,15.35,
423,THIESS MINECS INDIA PVT LTD,Mauritius,THIESS (MAURITIUS) PTY LTD,KOLKATA,Opencast mining of hard coal,3.60,0.06,
424,THIESS MINECS INDIA PVT LTD,Mauritius,THIESS(MAURITIUS) PTY LTD,KOLKATA,Opencast mining of hard coal,1.80,0.03,
,,,,,,,,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
425,NEW WORLD TRADING INDIA PVT LTD,Mauritius,New World Energy Ltd,NEW DELHI,Other supporting activities including agricultural gardening (excluding parks and gardening activiti,0.05,0.00,
426,ANI TECHNOLOGIES PVT LTD,Mauritius,FO Mauritius limited,MUMBAI,Other information technology and computer service activities n.e.c,"1,572.82",24.65,
427,ANI TECHNOLOGIES PVT LTD,Mauritius,DST Asia IV,MUMBAI,Other information technology and computer service activities n.e.c,"6,297.62",98.71,
428,NEOGROWTH CREDIT PVT LTD,Mauritius,KHOSLA IMPACT I MAURITIUS,KOLKATA,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.01,0.00,
429,NEOGROWTH CREDIT PVT LTD,Mauritius,KHOSALA IMPACT I MAURITIUS,KOLKATA,"Other financial service activities, except insurance and pension funding activities, n.e.c.",189.15,2.96,
430,NEOGROWTH CREDIT PVT LTD,Mauritius,KHOSALA IMPACT I MAURITIUS,KOLKATA,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.84,0.01,
431,NEOGROWTH CREDIT PVT LTD,Mauritius,ON MAURITIUS,KOLKATA,"Other financial service activities, except insurance and pension funding activities, n.e.c.",78.77,1.23,
432,NEOGROWTH CREDIT PVT LTD,Mauritius,ASPADA INVESTMENT COMPANY,KOLKATA,"Other financial service activities, except insurance and pension funding activities, n.e.c.",29.86,0.47,
433,STERLING SEZ AND INFRASTRUCTURE LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Other civil engineering projects n.e.c.,193.07,3.03,
434,STERLING SEZ AND INFRASTRUCTURE LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Other civil engineering projects n.e.c.,88.63,1.39,
435,ANI TECHNOLOGIES PVT LTD,Mauritius,OC Mauritius Investments Ltd,MUMBAI,Other information technology and computer service activities n.e.c,1.59,0.02,
436,ANI TECHNOLOGIES PVT LTD,Mauritius,FO Mauritius I Limited,MUMBAI,Other information technology and computer service activities n.e.c,1.59,0.02,
437,ANI TECHNOLOGIES PVT LTD,Mauritius,Steadview Capital Mauritius Ltd,MUMBAI,Other information technology and computer service activities n.e.c,406.30,6.37,
438,ANI TECHNOLOGIES PVT LTD,Mauritius,LTR Focus Fund,MUMBAI,Other information technology and computer service activities n.e.c,246.00,3.86,
439,ANI TECHNOLOGIES PVT LTD,Mauritius,ABG Capital,MUMBAI,Other information technology and computer service activities n.e.c,292.03,4.58,
440,ANI TECHNOLOGIES PVT LTD,Mauritius,Accel Growth III Holdings (Mauritius) Li,MUMBAI,Other information technology and computer service activities n.e.c,314.25,4.93,
441,ANI TECHNOLOGIES PVT LTD,Mauritius,OC Mauritius Investments Ltd,MUMBAI,Other information technology and computer service activities n.e.c,"1,256.98",19.70,
442,STERLING PORT LTD,Mauritius,NCY EQUITY GROWTH INVESTMENT,MUMBAI,Service activities incidental to water transportation,695.63,10.90,
443,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,155.77,2.44,
444,M/S VICEROY BANGALORE HOTELS PVT LTD,Mauritius,JP Morgan India  Property Mauritius Comp,HYDERABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",6.51,0.10,
445,ZEPHYR HEALTH SERVICES INDIA PRIVATE LIM,Mauritius,Zephyr Health Mauritius,NEW DELHI,Other information technology and computer service activities n.e.c,0.10,0.00,
446,MAKE MY TRIP INDIA PVT LTD,Mauritius,MAKEMYTRIP LTD,NEW DELHI,Travel agency activities,310.26,4.86,
447,CYGNET PROJECTS PVT LTD,Mauritius,AGATE INDIA INVESTMENTS LIMITED,NEW DELHI,Manufacture of other basic iron and steel n.e.c,10.83,0.17,
