"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
604,Alten Calsoftlabs India Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",ALTEN EUROPE,France,"10,51,42,713.0000",1394974.4668,Received in the company
605,FIRSTPRINCIPLE APPSFORBHARAT PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",SCI SEED INVESTMENT II,Mauritius,"10,42,18,886.7900",1391156.2363,Received in the company
606,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",JV-HPC SPV 2 Singapore Pte. Ltd,Singapore,"10,38,85,744.0000",1386709.3104,Received in the company
607,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,ON Mauritius,Mauritius,"10,30,95,542.0000",1376161.3716,Received in the company
608,ORITUR TECHNOLOGIES PRIVATE LIMITED,DELHI,West Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",Alpha Wave Incubation LP,UAE,"10,12,00,237.9000",1358456.2751,Received in the Company
609,PN IVF Access Private Limited,KARNATAKA,Bengaluru,Hospital activities,PN IVF ACCESS PTE. LTD,Singapore,"10,05,00,000.0000",1349056.6671,Received in the Company
610,HELICOPTER ENGINES MRO PRIVATE LIMITED,GOA,North Goa,"Repair of transport
equipment, except motor vehicles",Safran Helicopter Engines SAS,France,"10,00,00,000.0000",1342344.9424,Greenfield
611,IndoSpace Walajabad II Private Limited,TAMIL NADU,Kanchipuram,Construction of buildings carried out on own- account basis or on a fee or contract basis,ILP II Ventures XIII Pte. Ltd.,Singapore,"10,00,00,000.0000",1342344.9424,Greenfield
612,SQUARE ENIX PRIVATE LIMITED,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,Square Enix Hldings Co Ltd,Japan,"10,00,00,000.0000",1342344.9424,Received in the Company
613,Q HESTIA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,IVY HOMES PTE. LTD.,Singapore,"9,99,97,072.0000",1342305.6385,Received in the Company
614,DIASYS DIAGNOSTICS INDIA PRIVATE LIMITED,MAHARASHTRA,Thane,Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters,DIASYS DIAGNOSTIC SYSTEMS GMBH,Germany,"10,00,00,000.0000",1334840.8136,Received in the company
615,Basrur Uniseal Private Limited,KARNATAKA,Bangalore Rural,"Manufacture of other general purpose machinery n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines othe",Rieke Nederland Holdings BV (Formerly known as Rieke Lamons Nederland Holdings BV),Netherland,"10,01,03,160.7900",1328112.5184,Received in the company
616,Hector Beverages Private Limited,Haryana,Gurgaon,Manufacture of other non-alcoholic beverages,Sofina Ventures SA,Belgium,"10,00,00,124.6400",1326745.4926,Received in the company
,,,,n.e.c.,,,,,
617,CV PROJECTS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own- account basis or on a fee or contract basis,Padma Kumar Chungath Karunakaran,UAE,"10,00,00,000.0000",1326743.8389,Received in the company
618,PARKER PLANT INDIA PRIVATE LIMITED,GUJARAT,Mahesana,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",PARKER PLANT LIMITED,United Kingdom,"10,00,00,000.0000",1326743.8389,Received in the company
619,WONDRLAB INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Advertising,Tanas Capital Pte Ltd,Singapore,"10,00,00,000.0000",1326743.8389,Received in the company
620,MINOVA MINETEK PVT LTD,TELANGANA,Hyderabad,Manufacture of organic and inorganic chemical compounds n.e.c.,minova international limited,United Kingdom,"9,99,99,935.4500",1326742.9825,Received in the company
621,UGAOO AGRITECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Manufacture of other articles n.e.c.,DSG Consumer Partners III,Mauritius,"9,99,20,652.0000",1325691.0942,Received in the company
622,JAY JAGDAMBA LIMITED,MAHARASHTRA,Mumbai,"Manufacture of steel in ingots or other primary
forms, and other semi- finished products of steel",FLORAL LIFE PTE LTD,Singapore,"9,84,23,400.0000",1321181.532,Received in the Company
623,Revolut Payments India Private Limited,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Revolut Holdings International Limited,United Kingdom,"9,79,99,900.0000",1308142.6624,Received in the company
624,Method and Madness Technology Private Ltd,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",JMJ Technologies Pte. Ltd,Singapore,"9,75,00,000.0000",1301469.7932,Received in the company
625,OKAMOTO INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Manufacture of other special-purpose machinery n.e.c.,"OKAMOTO MACHINE TOOL WORKS, LTD",Japan,"9,80,00,000.0000",1300208.9622,Received in the company
626,SWITCH MOBILITY AUTOMOTIVE LIMITED,TAMIL NADU,Chennai,"Manufacture of commercial vehicles such as vans, lorries, over-the- road tractors for semi-
trailers etc.",SWITCH MOBILITY LIMITED,United Kingdom,"9,65,00,000.0000",1295362.8694,Received in the Company
627,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Capria Fund - BetterPlace LLC,U.S.A,"9,64,68,594.0000",1287702.165,Received in the company
628,ZEN TECHNOLOGIES LIMITED,TELANGANA,Hyderabad,Educational support activities,THE RAM FUND LP,U.S.A,"9,63,46,290.0000",1278268.4666,Received in the company
629,VECO PRECISION INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Machining; treatment and coating of metals,Veco B.V.,Netherland,"9,50,00,000.0000",1275227.6953,Received in the Company
630,Behr Bircher Cellpack BBC India Private Limited,DELHI,North West Delhi,Manufacture of other electrical equipment,Behr Bircher Cellpack BBC AG,Switzerland,"9,48,50,000.0000",1266096.5117,Received in the company
631,Flamesun Solar Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte. Ltd.,Singapore,"9,53,25,040.0000",1264719.0952,Greenfield
632,SMALLCASE TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Beenext2 Pte. Ltd,Singapore,"9,42,39,180.0000",1257943.037,Received in the company
633,COOPTIONS CORPORATION LIMITED,TELANGANA,Hyderabad,"Other professional, scientific and technical activities n.e.c.",WALDEN INVESTMENTS VI,Mauritius,"9,30,60,074.9100",1242203.861,Received in the company
634,AALDA VET INDIA PVT LTD,HARYANA,Gurgaon,Veterinary activities,Aalda Pte Ltd,Singapore,"9,30,00,000.0000",1233871.7702,Greenfield
635,GROVER ZAMPA VINEYARDS LTD,MAHARASHTRA,Mumbai,Manufacture of wines,VisVires Indian Wineries 2 Master Fund Pte. Ltd.,Singapore,"9,21,72,165.0000",1222888.5203,Received in the company
636,Vidhata Plastics India Private Limited,TELANGANA,Hyderabad,Manufacture of other plastics products n.e.c.,Sudhakar Rao Vidiyala,U.S.A,"9,16,87,500.0000",1216458.2573,Received in the company
637,KARNATAKA RESCO ROOFTOP SOLAR PRIVATE LIMITED,TELANGANA,Hyderabad,Electric power generation using solar energy,TEP Solar India Mauritius,Mauritius,"9,02,59,920.0000",1197517.9276,Received in the company
638,Adhunik Metaliks Limited,ODISHA,Sundergarh,Manufacture of other basic iron and steel n.e.c,LIBERTY AM HOLDING (UK) LIMITED,United Kingdom,"8,96,82,000.0000",1189850.4096,Received in the company
639,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Unitus SPV - BetterPlace LLC,U.S.A,"8,90,40,033.0000",1188542.7009,Received in the company
640,"AMBAXO CONSULTANTS AND DEVELOPERS PRIVATE
LIMITED",DELHI,South West Delhi,"Construction of buildings carried out on own- account basis or on a fee
or contract basis",WURK INC,Canada,"8,75,00,000.0000",1174551.8246,Received in the Company
641,CRYOLOR ASIA PACIFIC PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Manufacture of metal containers for compressed or liquefied gas,Cryolor SA,France,"8,69,48,500.0000",1160624.0648,Received in the company
642,MACO PHARMA INDIA TRANSFUSION SOLUTIONS PRIVATE LIMITED,DELHI,West Delhi,"Wholesale of scientific, medical and surgical machinery and equipment",GMPI SAS,France,"8,74,28,570.0000",1159953.1659,Received in the company
643,LIBERTY STEEL INDIA LIMITED,MAHARASHTRA,THANE,Activities of head offices,Liberty AM Holdings (UK) Ltd.,United Kingdom,"8,67,66,680.0000",1158197.0572,Received in the company
644,ZEN TECHNOLOGIES,TELANGANA,Hyderabad,Educational support,GP EMERGING MARKETS,U.S.A,"8,63,58,720.0000",1145758.997,Received in
,LIMITED,,,activities,STRATEGIES LP,,,,the company
645,SCHLOSS BANGALORE PRIVATE LIMITED,DELHI,South West Delhi,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",BSREP III INDIA BALLET III PTE. LTD.,Singapore,"8,53,23,700.0000",1145338.3716,Received in the Company
646,SCHLOSS BANGALORE PRIVATE LIMITED,DELHI,South West Delhi,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation
in house boats",BSREP III INDIA BALLET III PTE. LTD.,Singapore,"8,53,23,700.0000",1145338.3716,Received in the Company
647,JYOTI INTERNATIONAL FOODS PRIVATE LIMITED,MAHARASHTRA,Pune,"Wholesale of confectionery, bakery products and beverages other than intoxicants",INFINITY HOLDINGS,Mauritius,"8,50,00,000.0000",1134614.6915,Received in the company
648,AGARSHA INVESTMENT MANAGER PRIVATE LIMITED,DELHI,South Delhi,Activities auxiliary to financial service activities n.e.c.,AGARSHA INVESTMENT MANAGER LLC,U.S.A,"8,50,00,000.0000",1127732.2631,Received in the company
649,MIKUNI INDIA PVT LTD,RAJASTHAN,Alwar,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes,
catalysers, clutches, ste",MIKUNI THAILAND CO. LTD,Thailand,"8,50,00,000.0000",1127732.2631,Received in the company
650,CYCLIC ENERGY POWER PRIVATE LIMITED,DELHI,Central Delhi,"Electric power generation using other non conventional
sources",O2 POWER SG PTE. LTD.,Singapore,"8,25,00,000.0000",1101243.6712,Received in the company
651,Adhunik Metaliks Limited,ODISHA,Sundergarh,Manufacture of other basic iron and steel n.e.c,LIBERTY AM HOLDINGS (UK) LTD,United Kingdom,"8,17,28,000.0000",1097071.6745,Received in the Company
652,CREATORBOX SOFTWARES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Sendinblue,France,"8,19,57,204.0000",1093998.2086,Received in the company
653,LIBERTY STEEL INDIA LIMITED,MAHARASHTRA,THANE,Activities of head offices,Liberty AM Holdings UK Ltd.,United Kingdom,"8,04,41,850.0000",1079807.105,Received in the Company
654,WHITFORD INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of paints, varnishes and similar coatings, printing ink and
mastics",Whitford Pte. Ltd.,Singapore,"8,00,00,000.0000",1073875.9539,Received in the Company
655,Lulu Hospitality Private Limited,KERALA,Thiruvananthapuram,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation
in house boats",SHABIRA YUSUFFALI,UAE,"8,00,00,016.0000",1067872.8644,Received in the company
656,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,Publishing of operating business and other applications,"RTP Global Partners III, L.P.",Guernsey,"7,83,95,900.0000",1046460.4694,Received in the company
657,ADVANCED MONOMERS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND
INORGANIC CHEMICAL COMPOUNDS N.E.C.",OG CORPORATION,Japan,"7,76,68,500.0000",1042579.1816,Received in the Company
658,Aegis Customer Support Services Private Limited,MAHARASHTRA,Mumbai,Other telecommunications activities,CSP Alpha Holdings Pte Ltd,Singapore,"7,65,94,394.2300",1028160.9771,Received in the Company
659,STAR DENTAL CENTRE PRIVATE LIMITED,DELHI,New Delhi,Dental practice activities,GLOBAL DENTAL SERVICES LIMITED,Mauritius,"7,53,85,400.0000",1011932.1042,BROWNFIELD
660,GMONEY PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Pavin Ventures (FZE),UAE,"7,50,08,050.0000",1006866.7656,Received in the Company
661,SPECSMAKERS OPTICIANS PRIVATE LIMITED,TAMIL NADU,Chennai,"Retail sale of photographic, optical and precision equipment",Eight Roads Ventures India III LP,Bermuda,"7,50,00,151.8000",1006760.7445,Received in the Company
662,"ENGINEERED COMPONENTS AND
SYSTEMS INDIA PRIVATE LIMITED",KARNATAKA,Bengaluru,Manufacture of fluid power equipment,Power Packer Europa BV,Netherland,"7,50,00,000.0000",1006758.7068,Received in the Company
663,RZPX Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","RAZORPAY, INC",U.S.A,"7,49,58,421.9800",1006200.5863,Received in the Company
664,KSH AUTOMOTIVE PRIVATE LIMITED,ANDHRA PRADESH,Nellore,"Manufacture of parts and accessories of bodies for motor vehicles such as safety
belts, airbags,doors, bumpers","SAEHAN INDUSTRIAL CO., LTD",South Korea,"7,56,30,000.0000",1003416.3654,Received in the company
665,SPEY MEDICAL PRIVATE LIMITED,DELHI,South Delhi,Wholesale of pharmaceutical and medical goods,MORAINE BUSINESS LIMITED,UAE,"7,46,17,380.0000",1001622.6266,Received in the Company
666,PRAYOSHA FOOD SERVICES PRIVATE,GUJARAT,Ahmedabad,Other information technology and,RA Hospitality Holdings Co. Pte. Ltd,Singapore,"7,50,13,939.0000",1001316.6736,Received in the company
,LIMITED,,,computer service activities n.e.c,,,,,
667,Evato Technology Private Limited,HARYANA,Gurgaon,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",VH Capital XI,Mauritius,"7,45,02,221.0000",1000076.7956,Received in the Company
668,"Goals101 Data
Solutions Private Limited",DELHI,South Delhi,"Other data processing,
hosting and related activities n.e.c.",Dentsu Group Inc,Japan,"7,44,94,032.3200",999966.8752,Received in the Company
669,JIN MYUNG TECH INDIA PRIVATE LIMITED,ANDHRA PRADESH,Ananthapur,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags,doors,
bumpers",JIN MYUNG TECH CO LTD,South Korea,"7,43,99,600.0000",998699.2678,Received in the Company
670,KSH AUTOMOTIVE PRIVATE LIMITED,ANDHRA PRADESH,Nellore,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags,doors,
bumpers",SAEHAN INDUSTRIAL CO LIMITED,South Korea,"7,43,20,000.0000",997630.7612,Received in the Company
671,FLAT WHITE CAPITAL PRIVATE LIMITED,DELHI,West Delhi,Other credit granting,Sub-Fund 1 of Leo Technology Fund VCC,Singapore,"7,42,73,920.7000",997012.218,Received in the Company
672,VIJAY MINING PRIVATE LIMITED,TELANGANA,Hyderabad,"Mining of felspar and silica minerals including
quartz, quartzite and fuch.Quartzite",WESTERN WYVERN CAPITAL INVESTMENTS LLC,U.S.A,"7,42,19,360.0000",996279.8252,Received in the Company
673,CIRCLE CBG INDIA PRIVATE LIMITED,UTTAR PRADESH,Meerut,"Remediation activities
and other waste management services",KRISHAN MOHAN KSHETRY,U.S.A,"7,50,00,000.0000",995057.8792,Received in the company
674,ILP 3 INDIA 18 PRIVATE LIMITED,HARYANA,Gurgaon,"Construction of buildings carried out on own- account basis or on a fee
or contract basis",ILP III Ventures XXVI Pte. Ltd.,Singapore,"7,50,00,000.0000",995057.8792,Greenfield
675,IndianOil Total Private Limited,MAHARASHTRA,Mumbai,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous
minerals",TotalEnergies Marketing Services S.A.S.,France,"7,50,00,000.0000",995057.8792,Received in the company
676,ESSENTRA (INDIA) PRIVATE LIMITED,KARNATAKA,Bengaluru,Other printing activities like screen printing other than textile n.e.c.,ESNT Packaging and Securing Solutions Limited,United Kingdom,"7,49,98,260.0000",995034.7939,Received in the company
677,ZENLAYER NETWORKS INDIA PRIVATE LIMITED,DELHI,South Delhi,Computer consultancy and computer facilities management activities,ZENLAYER INTERNATIONAL HOLDING LIMITED,Cayman Islands,"7,41,20,000.0000",994946.0713,Received in the Company
678,Primetrace Technologies Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,NIRMAN INVESTMENTS LIMITED,Cayman Islands,"7,49,14,047.2100",993917.5059,Received in the company
679,Primetrace Technologies Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,"ROCKETSHIP.VC COMBO FUND II, LLC",U.S.A,"7,49,14,047.2100",993917.5059,Received in the company
680,Primetrace Technologies Private Limited,KARNATAKA,Bengaluru,Other information service activities n.e.c.,Surge Ventures II,Mauritius,"7,49,14,047.2100",993917.5059,Received in the company
681,INTELLIGENCENODE CONSULTING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Data processing activities including report writing,MILLENNA FVCI III LTD,Mauritius,"7,39,95,120.0000",993269.7509,Received in the Company
682,SHUHARI TECH VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other business support service activities n.e.c,J B - VENTURES GMBH,Germany,"7,48,13,579.1000",992584.5514,Received in the company
683,Evolet Pharmaceuticals Private Limited,DELHI,South Delhi,"Manufacture of pharmaceuticals, medicinal chemical and
botanical products",MORAINE BUSINESS LIMITED,UAE,"7,46,57,352.0000",990511.818,Received in the company
684,Innoterra Platform Private Limited,MAHARASHTRA,Mumbai,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agr",Samaaru Holding AG,Switzerland,"7,46,00,000.0000",989750.9038,Received in the company
685,GMONEY PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Pavin Ventures (FZE),UAE,"7,40,98,070.0000",989091.2804,Received in the company
686,Shivalik Rasayan Limited,Gujarat,Bharuch,"Manufacture of pesticides and other
agrochemical products",FFC3 APS,Denmark,"7,36,80,000.0000",989039.7535,Greenfield
687,AKARA CAPITAL ADVISORS PRIVATE LIMITED,DELHI,South Delhi,Financial leasing,Morus Technologies PTE. LTD.,Singapore,"7,40,48,507.0000",988429.6933,Received in the company
688,Curefoods India Private Limited,KARNATAKA,Bengaluru,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder
etc. (this excludes the","Global eCommerce Consolidation Fund, L.P.",Cayman Islands,"7,40,04,675.4800",987844.6122,Received in the company
689,LOG 9 MATERIALS SCIENTIFIC PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",SEA Frontier Fund LP,Malaysia,"7,40,01,998.0000",987808.8722,Received in the company
690,HEISETASSE BEVERAGES PRIVATE LIMITED,KARNATAKA,Bengaluru,Tea/coffee shops,Redbrook Pte Limited,Singapore,"7,40,00,590.0000",987790.0776,Received in the company
691,TEACHMINT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Lightspeed India Partners II LLC,Mauritius,"7,43,99,166.8400",987086.3623,Received in the company
692,Faarms Global Tech Venture Private Limited,KARNATAKA,Bengaluru,"Wholesale trade via e- commerce excluding
activities of commission agents",Faarms Global Ventures Pte. Ltd.,Singapore,"7,43,01,851.0000",985795.2304,Received in the company
693,FLAT WHITE CAPITAL PRIVATE LIMITED,DELHI,West Delhi,Other credit granting,"Better Tomorrow Ventures Fund I, LP",U.S.A,"7,33,97,789.8400",985251.5197,Received in the Company
694,PALAESTRA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Accel India VI (Mauritius) Limited,Mauritius,"7,32,80,116.1400",983671.9328,Received in the Company
695,PALAESTRA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Elevation Capital VII Limited,Mauritius,"7,32,80,116.1400",983671.9328,Received in the Company
696,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",GC DP Ventures Limited,U.S.A,"7,35,14,098.1400",981296.1857,Received in the company
697,BANYAN SUSTAINABLE WASTE MANAGEMENT PRIVATE LIMITED,TELANGANA,Medak,Materials recovery,BANYAN NATION INC,U.S.A,"7,38,99,440.0000",980456.2672,Received in the company
698,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other credit granting,ELARA INDIA OPPORTUNITIES FUND LTD,Mauritius,"7,29,99,636.4000",979906.9272,Received in the Company
699,INCRED CAPITAL FINANCIAL SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other credit granting,RAJENDRA B VATTIKUTI,U.S.A,"7,29,99,636.4000",979906.9272,Received in the Company
700,Newly Weds Foods India Private Limited,DELHI,South Delhi,Grinding and processing of spices,"Newly Weds Foods, Inc.",U.S.A,"7,33,99,800.0000",979770.4875,Received in the company
701,EPOWERX LEARNING TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,OTHER EDUCATIONAL SERVICES N.E.C.,SKILL-LYNC INC,U.S.A,"7,29,69,900.0000",979507.7621,Received in the Company
702,STACKBOX SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",VALUESALES INCORPORATED,Philippines,"7,32,98,036.0000",978412.1001,Received in the company
703,CONVEGENIUS DIGITAL INDIA SERVICES PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Publishing of operating business and other applications,CONVEGENIUS INTERNATIONAL HOLDINGS PTE. LTD.,Singapore,"7,31,53,074.0000",976477.0881,Received in the company
704,Indigo Generation (India) Private Limited,TELANGANA,Medak,Electric power generation using solar energy,INDIGO GENERATION LIMITED,United Kingdom,"7,35,93,000.0000",976390.5934,Received in the company
705,Raine Advisors India Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Raine India Holdings LLC,U.S.A,"7,31,00,000.0000",975768.6347,Received in the company
706,Trell Experiences Private Limited,KARNATAKA,Bengaluru,Publishing of operating business and other applications,SVIC No. 38 New Technology Business Investment L.L.P.,South Korea,"7,35,40,741.0000",975697.2503,Received in the company
707,Merabo Labs Private Limited,RAJASTHAN,Jaipur,Other non-specialised wholesale trade n.e.c.,RMG Holdings LLC,U.S.A,"7,29,93,458.0000",974346.4686,Received in the company
708,FIRSTPRINCIPLE APPSFORBHARAT PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web- page designing",BEENEXT EMERGING ASIA PTE LTD,Singapore,"7,29,46,678.4500",973722.0361,Received in the company
709,Edunetwork Private Limited,KARNATAKA,Bengaluru,"Renting of tent, furniture, pottery and glass, kitchen and
tableware, utensils, household electrical and",Accel India IV (Mauritius) Limited,Mauritius,"7,31,44,438.0100",970439.3248,Received in the company
,,,,electronic equipments etc.,,,,,
710,AUTONICS AUTOMATION INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Other professional, scientific and technical activities n.e.c.",AUTONICS CORPORATION,South Korea,"7,30,00,000.0000",968523.0024,Received in the company
711,Sociofy Enterprise Private Limited,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",Sociofy Singapore Pte. Ltd.,Singapore,"7,30,00,000.0000",968523.0024,Received in the company
712,SRI VISHNU WEAVING PRIVATE LTD,TAMIL NADU,TIRUVALLUR,"Weaving, manufacture of cotton and cotton mixture fabrics.",PREM INVESTMENTS LIMITED,Singapore,"7,11,40,000.0000",954944.192,BROWNFIELD
713,SUNWAY RNS TJ PRIVATE LIMITED,KARNATAKA,Bengaluru,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges,
tunnels and subways",SUNWAY CONSTRUCTION SDN BHD,Malaysia,"7,18,27,005.0000",952960.3635,Received in the company
714,POLYHOSE SATO-SHOJI METAL WORKS PRIVATE LIMITED,TAMIL NADU,Chennai,"Forging, pressing, stamping and roll-
forming of metal; powder metallurgy",Sato-Shoji Corporation,Japan,"7,10,00,000.0000",947736.9776,Received in the company
715,LAI Investment Manager Private Limited,MAHARASHTRA,Mumbai,Management of other investment funds,Logos India Pte. Ltd,Singapore,"7,01,52,914.0000",941694.093,Received in the Company
716,Adhunik Metaliks Limited,ODISHA,Sundergarh,Manufacture of other basic iron and steel n.e.c,LIBERTY AM HOLDINGS (UK) LTD,United Kingdom,"7,02,46,800.0000",937682.9566,Received in the company
717,AGNEXT TECHNOLOGIES PRIVATE LIMITED,PUNJAB,Mohali,Other information service activities n.e.c.,KALAARI CAPITAL PARTNERS III LLC,Mauritius,"7,00,56,871.0000",935147.7068,Received in the company
718,ROUNDGLASS SPORTS PRIVATE LIMITED,PUNJAB,Mohali,Other sports activities,ROUNDGLASS LLC,U.S.A,"6,94,41,600.0000",932145.8055,Greenfield
719,Antariksh Warehousing and Logistic Parks Private Limited,HARYANA,Jhajjar,Construction of buildings carried out on own- account basis or on a fee or contract basis,ILP II Ventures X Pte. Ltd.,Singapore,"7,00,00,000.0000",928720.6873,Greenfield
720,Columbia Pacific Communities Private Limited,TAMIL NADU,Kanchipuram,Nursing care facilities,CP SENIOR HOUSING (INDIA) LLC,U.S.A,"7,00,00,000.0000",928720.6873,Received in the company
721,"IndoSpace Industrial Park Oragadam
Walajabad Private Limited",TAMIL NADU,Kanchipuram,"Construction of buildings carried out on own-
account basis or on a fee or contract basis",ILP II Pte. Ltd.,Singapore,"7,00,00,000.0000",928720.6873,Brownfield
722,ODWEN TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones",ODWEN INC.,U.S.A,"6,99,96,159.3800",928669.7321,Received in the company
723,KRISTAL ADVISORS PRIVATE LIMITED,DELHI,Central Delhi,Management of other investment funds,Kristal.AI Holdings PTE LTD,Singapore,"6,71,40,000.0000",901250.3943,Received in the Company
724,CREATORBOX SOFTWARES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Sendinblue,France,"6,73,13,064.0000",893071.9294,Received in the company
725,Popshop Commerce Private Limited,KARNATAKA,Bengaluru,Retail sale via e- commerce,Meesho Inc,U.S.A,"6,71,71,736.0000",891196.8689,Received in the company
726,AVON BEAUTY PRODUCTS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and
preparations for permanent waving or str",Avon International Operations Inc.,U.S.A,"6,61,50,000.0000",887961.1794,Received in the Company
727,Boxseat Ventures Private Limited,KARNATAKA,Bengaluru,"Activities of other commission agents n.e.c. (including commission agents working in emerging areas for
wholesale trade",10Club Pte Ltd.,Singapore,"6,60,00,000.0000",885947.662,Received in the Company
