Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
"103
7",Freshcore Provisions Private Limited,DELHI,South Delhi,Wholesale of fruits and vegetables,The New Leaf Company B.V,Netherland,17.41,0.24,"Received in the
Company",
"103
8",Freshcore Provisions Private Limited,DELHI,South Delhi,Wholesale of fruits and vegetables,The New Leaf Company B.V,Netherland,129.30,1.76,"Received in
the Company",
"103
9",Freshcore Provisions Private Limited,DELHI,South Delhi,Wholesale of fruits and vegetables,The New Leaf Company B.V,Netherland,71.05,0.97,Received in the Company,
"104
0",Freshcore Provisions Private Limited,DELHI,South Delhi,Wholesale of fruits and vegetables,The New Leaf Company B.V,Netherland,94.69,1.29,"Received in
the Company",
"104
1",Freyr Energy Services Private Limited,TELANGANA,Hyderabad,Manufacture of other electrical equipment,Freyr Energy Services Singapore PTE. Ltd,Singapore,169.80,2.32,"Received in
the Company",
"104
2",Fromageries Bel India Private Limited,MAHARASHT RA,Mumbai,"Wholesale of raw milk & dairy
products",Societe Industrielle Commerciale Et De Participation,France,250.00,3.36,"Received in the
Company",
"104
3",FROSTY BOY INDIA PRIVATE LIMITED,DELHI,West Delhi,Retail sale of other food products n.e.c.,Frosty Boy Australia Pty.Ltd.,Australia,24.52,0.33,"Received in
the Company",
"104
4",FRUIT OF THE LOOM INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of all types of textile garments and,Fruit of the Loom Inc.,U.S.A,1.71,0.02,Received in the Company,
,,,,clothing accessories,,,,,,
"104
5",FS INDIA SOLAR VENTURES PRIVATE LIMITED,DELHI,Central Delhi,"Electric power generation using
solar energy",First Solar FE Holdings PTE LTD,Singapore,11.25,0.15,"Received in the
Company",
"104
6",FS INDIA SOLAR VENTURES PRIVATE LIMITED,DELHI,Central Delhi,Electric power generation using solar energy,First Solar FE Holdings Pte. Ltd.,U.S.A,0.60,0.01,Received in the Company,
"104
7",FUJITEC INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of lifts, escalators and moving walkways","Fujitec Co., Ltd",Japan,535.00,7.18,Received in the Company,
"104
8",FUMA MACHINERY INDIA PRIVATE LIMITED,DELHI,West Delhi,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper
board",FUMA MACHINERY TRADING PTE. LTD.,Singapore,1.17,0.02,Received in the Company,
"104
9",FUNDSCORNER FINTECH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Fayaz Patel,UAE,10.00,0.13,Received in the Company,
"105
0",FUNDSCORNER FINTECH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Sandeep Kapadia,UAE,20.00,0.27,Received in the Company,
"105
1",FUNDSCORNER FINTECH SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Shermeen Arif Nathani,UAE,35.50,0.48,Received in the Company,
"105
2",Future Generali India Life Insurance Company Limited,MAHARASHT RA,Mumbai,Life insurance,GENERALI PARTICIPATIONS NETHERLANDS N.V.,Netherland,"1,000.00",13.43,"Received in
the Company",
"105
3",FUTURE INDIA KITCHEN PRIVATE LIMITED,DELHI,West Delhi,"Other professional, scientific and technical activities
n.e.c.",Northwest Industrial Logistics Pte Ltd,Singapore,0.10,0.00,Received in the Company,
"105
4",FUTURELIFE FOODS PRIVATE LIMITED,DELHI,South Delhi,"Wholesale of other
basic/manufactured food stuffs n.e.c.",Big Investments Equity S.A.,Panama,29.67,0.40,"Received in
the Company",
"105
5",FUTURLY PRIVATE LIMITED,TAMIL NADU,Chennai,OTHER EDUCATIONAL SERVICES N.E.C.,AREK KESHISHIAN,Armenia,0.15,0.00,Received in the Company,
"105
6",FUZIA COMMUNITY FOUNDATION,MAHARASHT RA,Mumbai,"EDUCATIONAL SUPPORT
SERVICES",OPENGROWTH ORG,U.S.A,0.10,0.00,"Received in the
Company",
"105
7",GABRIEL-BROS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of jewellery of gold, silver and other precious or base",Abdul Ahad Gabriel,U.S.A,0.00,0.00,Received in the Company,
,,,,"metal metal clad with precious metals or precious or semi- precious stones, or of combinations of precious metal and precious or semi- precious stones or of other materials",,,,,,
"105
8",GABRIEL-BROS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi- precious stones, or of combinations of precious metal and precious or semi-
precious stones or of other materials",Global Manufacturing and Services Inc.,U.S.A,1.70,0.02,Received in the Company,
"105
9",GAJJU TECHNOLOGIES PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information technology and computer service activities n.e.c,Sajan Rizwan Askerali,UAE,7.50,0.10,Received in the Company,
"106
0",GAJJU TECHNOLOGIES PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information technology and computer service activities n.e.c,RM Capital Partners LLC,U.S.A,0.74,0.01,Received in the Company,
"106
1",GALACTUS FUNWARE TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities
n.e.c.",M/s. M-League Pte. Ltd.,Singapore,"2,928.59",39.97,Received in the Company,
"106
2",GALLIUS TECHNOLOGIES AND ENGINEERING SERVICES PRIVATE LIMITED,TAMIL NADU,Kanyakumari,Management consultancy activities,MICHAEL NEELY BROWN,U.S.A,0.03,0.00,Received in the Company,
"106
3",GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,Gamewith Inc.,Japan,6.91,0.09,Received in the Company,
"106
4",Gamio Technologies Private Limited,DELHI,East Delhi,"Other data processing, hosting and related activities n.e.c.",Fortumax Group Limited,Cayman Islands,11.24,0.15,Received in the Company,
"106
5",GANESH BENZOPLAST LIMITED,MAHARASHT RA,Mumbai,"Storage and warehousing n.e.c.[Includes
general merchandise",Stolt-Nielsen Singapore Pte Ltd,Singapore,378.88,5.15,Received in the Company,
,,,,"warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones",,,,,,
"106
6",GANGES INTERNATIONALE PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of hot- rolled and cold- rolled products of
steel",Globe Leader Holdings Pvt Ltd,Mauritius,18.36,0.25,Received in the Company,
"106
7",Gangzur Adventure Lodge Private Limited,LADAKH,Leh,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",CHOA FUNG FUNG,Singapore,3.99,0.05,Received in the Company,
"106
8",GARONIT PHARMACEUTICALS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICAL S: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Garonit AG,Switzerland,10.00,0.14,Received in the Company,
"106
9",GARRY N SUN ORGANICS PRIVATE LIMITED,PUNJAB,Ludhiana,Preservation of fruit and vegetables n.e.c.,Garry N Sun USA INC (Doing Business as Ayurvedic Healing Herbs),U.S.A,2.50,0.03,Greenfield,
"107
0",GATEB SERVICES PRIVATE LIMITED,DELHI,South Delhi,"Other information technology and
computer service activities n.e.c",GATEB AG,Switzerland,0.70,0.01,Received in the Company,
107,Gateway Distriparks Ltd,Maharashtra,Mumbai Suburban,Storage And,Mr. KRIPA RAM VIJ,Singapore,5.00,0.07,Brownfield,
1,,,,"Warehousing N.E.C.[Includes General Merchandise Warehouses And Warehousing Of
Furniture,",,,,,,
"107
2",GC WEB VENTURES PRIVATE LIMITED,DELHI,South Delhi,Other information service activities n.e.c.,ACP LENS LIMITED,Mauritius,335.80,4.51,Received in the Company,
"107
3",GC WEB VENTURES PRIVATE LIMITED,DELHI,South Delhi,Other information service activities n.e.c.,DSG CONSUMER PARTNERS,Mauritius,36.49,0.49,Received in the Company,
"107
4",GCXG INDIA PRIVATE LIMITED,MAHARASHT RA,Thane,"Other data processing, hosting and related activities n.e.c.",FLAG TELECOM SINGAPORE PTE LIMITED,Singapore,0.50,0.01,Received in the Company,
"107
5",GEA Process Engineering (India) Private Limited,GUJARAT,Vadodara,"Production, collection and distribution of steam and hot water for heating, power and other purposes",GEA Process Engineering A/S,Denmark,"1,709.32",23.24,Received in the Company,
"107
6",GEA Refrigeration India Private Limited,GUJARAT,Vadodara,"Manufacture of refrigerating or freezing equipment for industrial use, including assemblies of major
components",GEA Bock GmbH,Germany,505.45,6.87,Received in the Company,
"107
7",GEDORE (INDIA) PRIVATE LIMITED,DELHI,Central Delhi,"Manufacture of hand tools such as pliers, screwdrivers, press tools, blacksmiths' tools, drills,punches,
milling cutters etc.",Gedore Werkzeugfabrik GmbH and Co KG,Germany,159.04,2.14,Received in the Company,
"107
8",Gemcorp Recycling & Technologies Private Limited,MAHARASHT RA,Thane,Collection of non- hazardous waste,GEMINI CORPORATION NV,Belgium,44.30,0.60,"Received in
the Company",
"107
9",GEMS EDUCATION SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",VARKEY INVESTMENTS ONE LIMITED,Mauritius,36.35,0.49,Brownfield,
108,GEMS EDUCATION SOLUTIONS INDIA,HARYANA,Gurgaon,General school,VARKEY INVESTMENTS (ONE),Mauritius,36.37,0.49,Brownfield,
0,PRIVATE LIMITED,,,"education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",LIMITED,,,,,
"108
1",GEMS EDUCATION SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",VARKEY INVESTMENTS (ONE) LIMITED,Mauritius,12.68,0.17,BROWNFIE LD,
"108
2",GEMS EDUCATION SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",VARKEY INVESTMENTS (ONE) LIMITED,Mauritius,0.51,0.01,Brownfield,
"108
3",GEMS EDUCATION SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",VARKEY INVESTMENTS (ONE) LIMITED,Mauritius,1.81,0.02,Brownfield,
"108
4",GENERATION INDIA FOUNDATION,HARYANA,Gurgaon,Educational Support Services,"Generation: You Employed, Inc",U.S.A,33.47,0.46,"Received in
the Company",
"108
5",Generic Engineering Construction and Projects Ltd,MAHARASHT RA,Mumbai,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",Jay Kumar Dadlani,UAE,40.00,0.54,Brownfield,
"108
6",GENERIC PHARMASEC LIMITED,MAHARASHT RA,Mumbai,Manufacture of allopathic pharmaceutical preparations,RAJESH SADHWANI,UAE,3.00,0.04,Received in the Company,
"108
7",GENERIC PHARMASEC LIMITED,MAHARASHT RA,Mumbai,"Manufacture of allopathic
pharmaceutical preparations",SNEHA SADHWANI,UAE,15.00,0.20,Received in the Company,
"108
8",GENSOL MOBILITY PRIVATE LIMITED,GUJARAT,Ahmedabad,Rental of private cars with driver,LAURA WADHWA,Switzerland,7.22,0.10,Received in the,
,,,,,,,,,Company,
"108
9",GENSOL MOBILITY PRIVATE LIMITED,GUJARAT,Ahmedabad,Rental of private cars with driver,Truepearl Limited,Mauritius,9.59,0.13,"Received in the
Company",
"109
0",GENSOL MOBILITY PRIVATE LIMITED,GUJARAT,Ahmedabad,Rental of private cars with driver,Sham Kishor Bhat,Oman,2.00,0.03,Received in the Company,
"109
1",GENWORKS HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical machinery and equipment",Evolvence India Fund II Limited,Mauritius,29.46,0.40,Received in the Company,
"109
2",GENWORKS HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical
machinery and equipment",Somerset Indus Healthcare Fund II,Mauritius,160.88,2.20,Received in the Company,
"109
3",GENWORKS HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical machinery and
equipment",Grandvista Limited,Mauritius,84.22,1.15,Received in the Company,
"109
4",GENXLEAD RETAIL PRIVATE LIMITED,TAMIL NADU,Kancheepuram,Retail sale via e- commerce,Altis Resources SDN. BHD.,Malaysia,1.80,0.02,Received in the Company,
"109
5",GENXLEAD RETAIL PRIVATE LIMITED,TAMIL NADU,Kancheepuram,Retail sale via e- commerce,Altis Resources SDN. BHD.,Malaysia,1.86,0.03,Received in the Company,
"109
6",GEOIDENTITY (INDIA) PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,GEOIDENTITY INC,U.S.A,0.10,0.00,Received in the Company,
"109
7",GERRESHEIMER PHARMACEUTICAL PACKAGING MUMBAI PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of laboratory or pharmaceutical
glassware",GERRESHEIMER GLAS GMBH,Germany,100.00,1.36,Received in the Company,
"109
8",GET RIA TECHNOLOGY AND DATA SERVICES PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Christopher George Townsend,Australia,3.65,0.05,Received in the Company,
"109
9",GEW INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts,
trusses, bridges etc.)",Galadari Investment international Co. Ltd. (L.L.C.),UAE,0.00,0.00,Received in the Company,
"110
0",GEW INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts,
trusses, bridges etc.)",Galadari Engineering Works Ltd. Co. (L.L.C.),UAE,0.10,0.00,Received in the Company,
"110
1",GFB GREAT FOODS PRIVATE LIMITED,DELHI,South Delhi,"Manufacture of ice- cream, kulfi etc.",FERNANDA BAYLER AIDAR,Canada,20.00,0.27,Received in the Company,
"110
2",GHC DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICAL S: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE ALKALOIDS;",Cellchem Pharmaceuticals Inc,Canada,2.49,0.03,Received in the Company,
"110
3",GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,Internet Fund VII Pte. Ltd.,Singapore,"3,625.48",49.48,"Received in the
Company",
"110
4",GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,Hummingbird Opportunity Fund II CommV,Belgium,74.47,1.02,"Received in
the Company",
"110
5",GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,"Epiq Capital I, L.P.",Cayman Islands,74.47,1.00,Received in the Company,
"110
6",GHV ADVANCED CARE PRIVATE LIMITED,HARYANA,Gurgaon,Hospital activities,SCI Investments VI,Mauritius,72.34,0.97,"Received in the
Company",
"110
7",GIFTIICON SOLUTIONS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"OSSONCO CO.,LTD",South Korea,5.88,0.08,Received in the Company,
110,GIFTIICON SOLUTIONS INDIA,KARNATAKA,Bengaluru,Other information,MERCURY PROJECT PTE. LTD.,Singapore,3.73,0.05,Received in,
8,PRIVATE LIMITED,,,technology and computer service activities n.e.c,,,,,the Company,
"110
9",Giggle Galaxy Private Limited,MAHARASHT RA,Pune,Technical and vocational education below the level of higher education except for handicapped,R KRISH AND ASSOCIATES PTE LTD,Singapore,3.73,0.05,Received in the Company,
"111
0",GIM INFO SOLUTIONS PRIVATE LIMITED,CHATTISGAR H,Raipur,Other information technology and computer service activities n.e.c,Gimbooks Inc.,U.S.A,7.18,0.10,Received in the Company,
"111
1",GIM INFO SOLUTIONS PRIVATE LIMITED,CHATTISGAR H,Raipur,Other information technology and computer service activities n.e.c,Gimbooks Inc.,U.S.A,0.01,0.00,Received in the Company,
"111
2",GINGER BREAD TRADE MARKETING PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,Paul John Fund LLC,U.S.A,0.50,0.01,Received in the Company,
"111
3",GINGER JERRY STUDIO PRIVATE LIMITED,WEST BENGAL,Kolkata,"Other retail sale not in stores, stalls or markets",MATTHEW JEREMY PARSONS,United Kingdom,2.00,0.03,Received in the Company,
"111
4",Giridhan Metal Private Limited,West Bengal,Paschim Bardhaman Jamuria,Manufacture of other basic iron and steel n.e.c,ASD INTERNATIONAL HOLDINGS LIMITED,Mauritius,527.04,7.08,Greenfield,
"111
5",GIULIANI STEERING CYLINDERS INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of fluid power equipment,AVE GIULIANI,Italy,2.77,0.04,Received in the Company,
"111
6",GIVAUDAN (INDIA) PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of synthetic aromatic products,GIVAUDAN SA,Switzerland,"4,603.17",62.83,Received in the Company,
"111
7",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated
wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,1.00,0.01,BROWNFIE LD,
"111
8",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,Manufacture of structural wooden goods [intended to be used primarily in,Redribbon Modulex Buildings Limited,Mauritius,0.50,0.01,Brownfield,
,,,,"the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected,
prefabricated wooden roof tr",,,,,,
"111
9",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,1.00,0.01,Brownfield,
"112
0",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,7.50,0.10,BROWNFIE LD,
"112
1",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated
wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,0.85,0.01,BROWNFIE LD,
"112
2",Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in
the construction",Redribbon Modulex Buildings Limited,Mauritius,3.00,0.04,BROWNFIE LD,
,,,,"industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated
wooden roof tr",,,,,,
"112
3",Global Blue Private Limited,DELHI,Central Delhi,Advertising,Crown Acquisitions Pte. Ltd,Singapore,3.58,0.05,Received in the Company,
"112
4",GLOBAL FERTILITY SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent
ambulance activities)",G FERTILITY SOLUTIONS IND DMCC,UAE,145.28,1.95,Received in the Company,
"112
5",GLOBAL FERTILITY SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",G FERTILITY SOLUTIONS IND DMCC,UAE,0.73,0.01,Received in the Company,
"112
6",GLOBAL FERTILITY SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",G FERTILITY SOLUTIONS IND DMCC,UAE,111.95,1.53,Received in the Company,
"112
7",GLOBAL INDIAN SCHOOL EDUCATION SERVICES PRIVATE LIMITED,DELHI,South Delhi,"Management
consultancy activities",Global Indian Holdings Pte. Ltd.,Singapore,27.95,0.38,"Received in
the Company",
"112
8",GLOBAL UNIVERSAL TELEVISION SERVICES INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,Production of motion picture,DAVID RICHARDSON,United Kingdom,2.42,0.03,Received in the Company,
"112
9",Global Wind Energy Council India,TAMIL NADU,Chennai,Activities of other membership organizations n.e.c.,GLOBAL WIND ENERGY COUNCIL ASBL,Belgium,0.10,0.00,Received in the Company,
"113
0",GLOCAL HEALTHCARE SYSTEMS PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Hospital activities,UPHEALTH HOLDINGS INC.,U.S.A,214.82,2.93,Received in the Company,
"113
1",GLUTAWEIS COSMETICS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of toiletry, perfumery and cosmetics",I.G.S. LLC DBA YOUR ONLINE,U.S.A,14.73,0.20,Received in the Company,
"113
2",GM Natura Infrastructure Private Limited,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",NATURA DE LA INDIA SL,Spain,1.97,0.03,Received in the Company,
"113
3",GM Natura Infrastructure Private Limited,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",NATURA DE LA INDIA SL,Spain,1.22,0.02,Received in the Company,
"113
4",GM Natura Infrastructure Private Limited,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",NATURA DE LA INDIA SL,Spain,0.89,0.01,Received in the Company,
"113
5",GMO-Z.COM PAYMENT GATEWAY INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Activities auxiliary to financial service activities n.e.c.,GMO-Z.com Payment Gateway Pte. Ltd.,Singapore,13.29,0.18,Received in the Company,
"113
6",GO AIRLINES (INDIA) LIMITED,DELHI,North West Delhi,Passenger airways,BAYMANCO INVESTMENTS LIMITED,Mauritius,"3,692.00",50.39,"Received in
the Company",
"113
7",GO AIRLINES (INDIA) LIMITED,DELHI,North West Delhi,Passenger airways,BAYMANCO INVESTMENTS LIMITED,Mauritius,"1,768.00",24.04,Received in the Company,
"113
8",GO DIGIT GENERAL INSURANCE LIMITED,MAHARASHT RA,Pune,Non-life insurance,Dr. Christof Mascher,Austria,66.04,0.90,"Received in the
Company",
"113
9",GO LORRY PRIVATE LIMITED,TAMIL NADU,Chennai,Motorised road freight transport,Go Lorry Incorporated,U.S.A,1.28,0.02,Received in the Company,
"114
0",GO LORRY PRIVATE LIMITED,TAMIL NADU,Chennai,Motorised road freight transport,GO LORRY INCORPORATED,U.S.A,0.63,0.01,Received in the Company,
"114
1",Godrej Housing Finance Limited,MAHARASHT RA,Mumbai,Other credit granting,Pan Fin Investments LP,British Isles,17.50,0.24,"Received in
the Company",
"114
2",Godrej Housing Finance Limited,MAHARASHT RA,Mumbai,Other credit granting,Pan Fin Investments LP,British Isles,42.02,0.57,Received in the Company,
"114
3",Godrej Housing Finance Limited,MAHARASHT RA,Mumbai,Other credit granting,Pan Fin Investments LP,British Isles,321.11,4.38,Received in the Company,
"114
4",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Maria Jesus Sanchez Benito,Spain,0.80,0.01,Received in the Company,
"114
5",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Maria Jesus Sanchez Benito,Spain,0.01,0.00,Received in the Company,
"114
6",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,William Klippgen,Singapore,1.85,0.02,Received in the Company,
114,GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency,William Klippgen,Singapore,0.01,0.00,Received in,
7,,,,activities,,,,,the Company,
"114
8",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Maxence Cacheux,U.S.A,3.69,0.05,"Received in
the Company",
"114
9",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Maxence Cacheux,U.S.A,0.01,0.00,Received in the Company,
"115
0",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Masik Enterprises Pte Ltd,Singapore,1.85,0.02,"Received in the
Company",
"115
1",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Masik Enterprises Pte Ltd,Singapore,0.01,0.00,Received in the Company,
"115
2",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Jurg Syz,Switzerland,3.71,0.05,Received in the Company,
"115
3",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Jurg Syz,Switzerland,0.01,0.00,Received in the Company,
"115
4",GOGO MOBILITY PRIVATE LIMITED,HARYANA,Gurgaon,Travel agency activities,Jurg Syz,Switzerland,1.44,0.02,Received in the Company,
"115
5",GOINFINITY TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",BEYOND360 LIMITED,United Kingdom,1.40,0.02,Received in the Company,
"115
6",GOINFINITY TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",BEYOND360 LIMITED,United Kingdom,1.66,0.02,Received in the Company,
"115
7",GOINFINITY TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,BEYOND360 LIMITED,United Kingdom,1.86,0.03,Received in the Company,
"115
8",GOINFINITY TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",BEYOND360 LIMITED,United Kingdom,2.51,0.03,Received in the Company,
"115
9",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,Publishing of operating business and other applications,Mausam P Bhatt,U.S.A,0.34,0.00,Received in the Company,
"116
0",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Publishing of operating business
and other applications","Fund I, a series of Utsav Somani Investments, LP",U.S.A,7.39,0.10,Received in the Company,
"116
1",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Publishing of operating business
and other applications",3.0 FUND LP,U.S.A,1.68,0.02,Received in the Company,
"116
2",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Publishing of operating business and other
applications","Matrix Partners India Investments III, LLC",Mauritius,231.34,3.16,Received in the Company,
"116
3",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,Publishing of operating business and other applications,"Matrix Partners India Investments III, LLC",Mauritius,0.76,0.01,Received in the Company,
"116
4",GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Publishing of operating business
and other applications","RTP Global Partners III, L.P.",United Kingdom,105.00,1.43,Received in the Company,
"116
5",GOLDEN HIPPO TECHNOLOGY PVT LTD,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,Golden Hippo Co Ltd,Malaysia,0.01,0.00,Received in the Company,
"116
6",GOLDEN HIPPO TECHNOLOGY PVT LTD,TAMIL NADU,Chennai,"Providing software support and
maintenance to the clients",RUDY RAMLAN,Malaysia,0.00,0.00,Received in the Company,
"116
7",GoldVIP Technology Solutions Private Limited,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Growmore Investment Management LLC,UAE,18.27,0.25,Received in the Company,
