Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
133,Botree Software International Private Limited,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",Unite Fusion Pte Ltd,Singapore,19.24,0.26,Received in the Company,
134,Botree Software International Private Limited,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Unite Fusion Pte Ltd,Singapore,17.49,0.24,Received in the Company,
135,BRAINCURRY TECHNOLOGIES PRIVATE LIMITED,DELHI,South West Delhi,Computer consultancy and computer facilities management activities,NiWe 1990 Invest UG,Germany,0.06,0.00,Received in the Company,
136,BRILLIO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",GCI Global Ventures,Mauritius,0.06,0.00,Received in the Company,
137,BSG BUSINESS SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,THE BRIXTON GROUP INC,U.S.A,0.10,0.00,Brownfield,
138,BUDDHI FOODS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Manufacture of prepared meals and dishes,Fleetwing Limited,UAE,0.90,0.01,"Received in the
Company",
139,"BUENO GIG CREDIT BUILDING
TECHNOLOGIES PRIVATE LIMITED",HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,BUENO FINANCE INC,U.S.A,0.01,0.00,Received in the Company,
140,"BUSINESS INTELLIGENCE AND INTEGRATION SOLUTIONS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Data Technology Limited,United Kingdom,2.50,0.03,Received in the Company,
141,Busybees Logistics Solutions Private Limited,MAHARASHTRA,Pune,Courier activities,GCFII B,Mauritius,100.01,1.36,Received in the Company,
142,"CALDWELL
MANUFACTURING INDIA PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Manufacture of padlocks, locks, keys,
hinges and the like, hardware for buildings, furniture, vehicles etc.",Caldwell Hardware (UK) Limited,United Kingdom,0.00,0.00,"Received
in the Company",
143,CALLISTRO REALTORS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other construction projects n.e.c.,Callisto Projects Limited,Mauritius,0.02,0.00,Received in the Company,
144,CAMERAAH LABS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SUPERFAN LABS INC,U.S.A,0.10,0.00,"Received in the
Company",
145,CANONIC PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Canonic Inc.,U.S.A,0.01,0.00,"Received
in the Company",
146,CENTROID IT SYSTEMS INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",CENTROID SYSTEMS INC,U.S.A,0.70,0.01,Received in the Company,
147,CESSNA GARDEN DEVELOPERS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,BREP Asia II Indian Holding Co VII (NQ) Pte. Ltd,Singapore,"7,389.03",100.85,Received in the Company,
148,CHEFERD FOODS PRIVATE LIMITED,DELHI,South West Delhi,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this
excludes the",RA HOSPITALITY HOLDINGS CO. PTE LTD,Singapore,5.00,0.07,Received in the Company,
149,CHEFERD FOODS PRIVATE LIMITED,DELHI,South West Delhi,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this
excludes the",RA HOSPITALITY HOLDINGS CO. PTE LTD,Singapore,7.50,0.10,Received in the Company,
150,CHRISTIE'S INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Activities of other commission agents
n.e.c. (including commission agents working in emerging areas for wholesale
trade",Christies Overseas Holding Ltd,United Kingdom,0.05,0.00,Received in the Company,
151,Clamant Tech Services Private Limited,MAHARASHTRA,Mumbai,Computer consultancy and computer facilities management activities,Godhuli Vishwanathan,United Kingdom,0.04,0.00,Received in the Company,
152,"CLEAN SOLAR POWER (BHAINSADA) PRIVATE
LIMITED",Rajasthan,Jaisalmer,Electric power generation using other non conventional sources,O2 Power SG Pte. Ltd.,Singapore,44.15,0.59,Brownfield,
153,"CLOUDINTEGRTR
SOFTWARE SERVICES PRIVATE LIMITED",HARYANA,Gurgaon,Providing software support and maintenance to the clients,Cloud Titans GmbH,Germany,0.58,0.01,"Received
in the Company",
154,CLOUDINTEGRTR SOFTWARE SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,Cloud Titans GmbH,Germany,2.03,0.03,Received in the Company,
155,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.01,0.00,Received in the Company,
156,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.00,0.00,Received in the Company,
157,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.02,0.00,Received in the Company,
158,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.01,0.00,"Received
in the Company",
159,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.00,0.00,"Received
in the Company",
160,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.00,0.00,Received in the Company,
161,CMH TOOLS IMITED,TELANGANA,Medak,"Manufacture of bearings, gears, gearing and driving elements",Maschinenbau Saacke GmbH,Germany,0.01,0.00,"Received in the
Company",
162,COFFER INTERNET SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",SURGE VENTURES III,Mauritius,4.44,0.06,Received in the Company,
163,"COFFER INTERNET SERVICES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",ACCEL INDIA VI (MAURITIUS) LTD.,Mauritius,3.88,0.05,"Received in the
Company",
164,Cognitivecare India Labs Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,CognitiveCare Holdings LLC,U.S.A,0.18,0.00,"Received
in the Company",
165,Cognitivecare India Labs Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,CognitiveCare Holdings LLC,U.S.A,0.55,0.01,Received in the Company,
166,CONVERGENSEE INDIA MARTECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,CONVERGENSEE ASIA PTE. LTD,Singapore,0.10,0.00,Received in the Company,
167,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",SEPIA INVESTMENTS LIMITED,Mauritius,105.00,1.41,Received in the Company,
168,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,55.00,0.74,Received in the Company,
169,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium
derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,229.76,3.14,Received in the Company,
170,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,55.00,0.75,Received in the Company,
171,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,Manufacture of medicinal substances used in the manufacture of,Sepia Investments Limited,Mauritius,215.00,2.93,Received in the,
,,,,"pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",,,,,Company,
172,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,365.00,4.98,Received in the Company,
173,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,167.06,2.28,Received in the Company,
174,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,215.00,2.93,Received in the Company,
175,CORONA REMEDIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",Sepia Investments Limited,Mauritius,215.00,2.89,Received in the Company,
176,CPC DIAGNOSTICS PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of various other chemical products n.e.c (antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing
or drawing ink, chemical substance used in manufacturing of pe",Everlife Holdings Pte Ltd,Singapore,42.56,0.58,Received in the Company,
177,CPC DIAGNOSTICS PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of various other chemical products n.e.c (antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used
in manufacturing of pe",EVERLIFE HOLDINGS PTE LTD,Singapore,332.61,4.47,Received in the Company,
178,"CREATOROS SOFTWARE SOLUTIONS
PRIVATE LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Creatoros Inc.,U.S.A,0.02,0.00,"Received in the
Company",
179,CRIF High Mark Credit Information Services Private Limited,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA Ventures Limited,United Kingdom,22.39,0.31,Received in the Company,
180,CRIF High Mark Credit Information Services,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA Ventures Limited,United Kingdom,33.58,0.46,Received in the,
,Private Limited,,,,,,,,Company,
181,CRIF High Mark Credit Information Services Private Limited,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA VENTURES LIMITED,United Kingdom,111.99,1.53,Received in the Company,
182,CRIF High Mark Credit Information Services Private Limited,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA Ventures Limited,United Kingdom,22.39,0.31,Received in the Company,
183,CRIF High Mark Credit Information Services Private Limited,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA Ventures Limited,United Kingdom,67.21,0.92,Received in the Company,
184,CRIF High Mark Credit Information Services Private Limited,MAHARASHTRA,Mumbai,Activities of collection agencies and credit bureaus,SAA Ventures Limited,United Kingdom,11.19,0.15,Received in the Company,
185,CSE DAKSHINA SOLAR PRIVATE LIMITED,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte. Ltd.,Singapore,0.80,0.01,Greenfield,
186,CV PROJECTS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,PADMA KUMAR CHUNGATH KARUNAKARAN,UAE,12.75,0.17,Received in the Company,
187,CV PROJECTS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,PADMA KUMAR CHUNGATH KARUNAKARAN,UAE,12.75,0.17,Received in the Company,
188,D2i EDUTECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Develop.com LLC,U.S.A,0.00,0.00,Received in the Company,
189,DAATI METALWERKS PRIVATE LIMITED,HARYANA,Gurgaon,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy",ESTUDIOS CAPITAL LETTERS SL,Spain,0.03,0.00,Received in the Company,
190,DAGOSO PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,SPLITSUB INC.,U.S.A,0.01,0.00,Received in the Company,
191,DAILYNINJA DELIVERY SERVICES PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,"MATRIX PARTNERS INDIA INVESTMENTS III, LLC",Mauritius,2.31,0.03,Received in the Company,
192,"DAILYNINJA DELIVERY
SERVICES PRIVATE LIMITED",MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,"Matrix Partners India Investments III, LLC",Mauritius,3.00,0.04,"Received
in the Company",
193,DAXWISE FINTECH PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Shivam Lakmichand Dansinghani,Indonesia,0.10,0.00,"Received
in the Company",
194,Delhivery Private Limited,NEW DELHI,NEW DELHI,Other land transport services n.e.c,MALABAR SELECT FUND,Mauritius,331.26,4.52,"Received in the
Company",
195,DELTA BOTANICALS AND RESEARCH PRIVATE LIMITED,ODISHA,Khorda,Manufacture of ayurvedic or unani pharmaceutical preparation,GARY C STARR,Canada,0.05,0.00,Received in the Company,
196,DIXCY TEXTILES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,Varenna Holdings Limited,Cyprus,40.27,0.55,Received in the Company,
197,DIXCY TEXTILES,KARNATAKA,Bengaluru,Manufacture of all types of textile,Varenna Holdings Limited,Cyprus,304.50,4.16,Received,
,PRIVATE LIMITED,,,garments and clothing accessories,,,,,in the Company,
198,DIXCY TEXTILES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,Varenna Holdings Limited,Cyprus,55.23,0.74,"Received
in the Company",
199,Doyen Systems Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Sankarthanu Arzhakesan,U.S.A,6.00,0.08,Received in the Company,
200,Dr. Reddy's Laboratories Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium
derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Arun Prasad M. S.,Ukraine,1.34,0.02,Received in the Company,
201,Dr. Reddy's Laboratories Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium
derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Arun Prasad M. S.,Ukraine,1.76,0.02,Received in the Company,
202,Drillmec International Private Limited,TELANGANA,Hyderabad,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",DRILLMEC S.p.A.,Italy,0.01,0.00,Received in the Company,
203,Drillmec International Private Limited,TELANGANA,Hyderabad,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",DRILLMEC S.p.A.,Italy,0.01,0.00,Received in the Company,
204,DTDC RETAIL LIMITED,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,DNJ Holding Company Limited,HongKong,2.78,0.04,"Received
in the Company",
205,DTDC RETAIL LIMITED,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,DNJ HOLDING COMPANY LIMITED,HongKong,0.20,0.00,Received in the Company,
206,"DUTCHVIEW TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bangalore Rural,Other information technology and computer service activities n.e.c,"DUTCHVIEW INFOrMATION
TECHNOLOGY B.V",Netherland,0.71,0.01,"Received in the
Company",
207,Easyplan Fintech Solutions Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,"Easyplan Technologies, Inc.",U.S.A,0.05,0.00,Received in the Company,
208,ECOLE INTUIT LAB EDUCATION PRIVATE LIMITED,MAHARASHTRA,Mumbai,Higher education not leading to a degree or equivalent,ROCKLAND SAS,France,0.16,0.00,Received in the Company,
209,ECONOMIZE LABS PRIVATE LIMITED,TAMIL NADU,Madurai,Other information technology and computer service activities n.e.c,Economize Inc.,U.S.A,0.01,0.00,Received in the Company,
210,EDIFIXIO INDIA PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Providing software support and maintenance to the clients,Edifixio SAS,France,0.10,0.00,Received in the Company,
211,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,1.48,0.02,Received in the,
,,,,,,,,,Company,
212,EF POLYMER PRIVATE LIMITED,RAJASTHAN,Rajsamand,Manufacture of urea and other organic fertilizers,EF Polymer Private Limited,Japan,0.76,0.01,Received in the Company,
213,EF POLYMER PRIVATE LIMITED,RAJASTHAN,Rajsamand,Manufacture of urea and other organic fertilizers,EF Polymer Private Limited,Japan,0.22,0.00,Received in the Company,
214,Eickhoff Wind Asia Private Limited,TAMIL NADU,Chennai,Manufacture of other special-purpose machinery n.e.c.,Gebr. Eickhoff Maschinenfabrik U. Eisengiesserei GmbH,Germany,0.01,0.00,Received in the Company,
215,Eickhoff Wind Asia Private Limited,TAMIL NADU,Chennai,Manufacture of other special-purpose machinery n.e.c.,Eickhoff Wind Technology GmbH,Germany,0.01,0.00,Received in the Company,
216,EIRENE NAVAL SYSTEMS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Electric power generation using solar energy,SUNWAY GLOBAL LIMITED,United Kingdom,0.10,0.00,Received in the Company,
217,"EIRENE SPACE SYSTEMS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Electric power generation using solar energy,SUNWAY GLOBAL LIMITED,United Kingdom,0.10,0.00,"Received in the
Company",
218,EKNITI INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Collection and distribution of electric energy to households, industrial, commercial and other users n.e.c.",Eren Industries SA,Luxembourg,0.05,0.00,Received in the Company,
219,Electrojet Machinery Private Limited,TAMIL NADU,Madurai,"Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines","Electro-Jet, S.L",Spain,0.36,0.00,Received in the Company,
220,Electrojet Machinery Private Limited,TAMIL NADU,Madurai,"Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile
yarns, weaving machines (looms), including hand looms, knitting machines","Electro-Jet, S.L",Spain,0.37,0.00,Received in the Company,
221,ELITE MEDICAL MANAGEMENT PRIVATE LIMITED,KARNATAKA,Bengaluru,Combined office administrative service activities,Farah A Shaikh,U.S.A,0.01,0.00,Received in the Company,
222,ELITE MEDICAL MANAGEMENT PRIVATE LIMITED,KARNATAKA,Bengaluru,Combined office administrative service activities,Dr Adnan Anwar Shaikh,U.S.A,0.01,0.00,Received in the Company,
223,EMBASSY INDUSTRIAL PARKS PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,BREP Asia II EIP Holding (NQ) Pte Ltd,Singapore,"1,967.04",26.85,Received in the Company,
224,Emmes Services Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,THE EMMES COMPANY LLC,U.S.A,18.86,0.26,Received in the Company,
225,EMPAGNIE EDUCATION PRIVATE LIMITED,BIHAR,Patna,EDUCATION,EMPAGNIE PTE. LTD,Singapore,0.01,0.00,Received in the Company,
226,EMPI INNOVATION PARK PRIVATE LIMITED,DELHI,South Delhi,Construction of buildings carried out on own-account basis or on a fee or,Sporting Technologies Private Limited,Mauritius,26.01,0.35,Received in the,
,,,,contract basis,,,,,Company,
227,ENCORE I.T. SERVICES SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",ENCORE SOFTWARE SERVICES INC,U.S.A,0.08,0.00,Received in the Company,
228,ENERPARC SOLAR POWER 2 PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using other non conventional sources,MKM Asset Management 4 GmbH,Germany,0.00,0.00,Received in the Company,
229,Enprojectiers India Private Limited,TAMIL NADU,Dindigul,"Other professional, scientific and technical activities n.e.c.",Projectiers Pty Ltd,Australia,0.05,0.00,"Received
in the Company",
230,ESFV VENTURES (INDIA) PRIVATE LIMITED,HARYANA,Gurgaon,Electric power generation using solar energy,ESF VENTURES (UK) LIMITED,United Kingdom,0.05,0.00,Received in the Company,
231,"ESFV VENTURES (INDIA) PRIVATE
LIMITED",HARYANA,Gurgaon,Electric power generation using solar energy,ESF VENTURES (UK) LIMITED,United Kingdom,0.05,0.00,"Received in the
Company",
232,Essenvia Solutions Private Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","Newessenvia, Inc.",U.S.A,0.10,0.00,Received in the Company,
233,ESTEEM INDUSTRIES PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,4.03,0.05,Received in the Company,
234,ESTEEM INDUSTRIES PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,36.31,0.49,Received in the Company,
235,ESTEEM INDUSTRIES PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,98.61,1.35,Received in the Company,
236,ESTEEM INDUSTRIES PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,9.86,0.13,Received in the Company,
237,ESTEEM INDUSTRIES PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,88.75,1.21,Received in the Company,
238,"ETC AGRO PROCESSING (INDIA)
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,5.15,0.07,"Received in the
Company",
239,"ETC AGRO
PROCESSING (INDIA) PRIVATE LIMITED",MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,5.15,0.07,"Received
in the Company",
240,ETG AGRO PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,1.39,0.02,Received in the Company,
241,ETG AGRO PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,1.79,0.02,"Received in the
Company",
242,ETG AGRO PRIVATE,MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,1.59,0.02,Received,
,LIMITED,,,,,,,,in the Company,
243,"EverYondr Development
Management Private Limited",MAHARASHTRA,Mumbai,Management consultancy activities,EverYondr Holdings Pte. Ltd.,Singapore,0.10,0.00,"Received
in the Company",
244,EXAMROOM.AI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,EXAMROOM.AI CORP,U.S.A,0.10,0.00,Received in the Company,
245,"EXPERTRONS
TECHNOLOGIES PRIVATE LIMITED",MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,Iceland Venture Studio ehf.,Iceland,1.02,0.01,"Received
in the Company",
246,EXPERTRONS TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,Iceland Venture Studio ehf.,Iceland,1.02,0.01,Received in the Company,
247,Expian Technologies Private Limited,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,THE SCALERS CONSULTING LIMITED,Ireland,20.00,0.27,"Received in the
Company",
248,Expian Technologies Private Limited,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,THE SCALERS CONSULTING LIMITED,Ireland,20.00,0.27,"Received
in the Company",
249,FAIRCHEM ORGANICS LIMITED,MAHARASHTRA,Thane,"MANUFACTURE OF VARIOUS OTHER CHEMICAL PRODUCTS N.E.C.(ANTIKNOCK PREPARATIONS, ANTI-FREEZE PREPARATIONS, LIQUIDS FOR HYDRAULIC TRANSMISSION, COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, WRITING OR DRAWING INK, CHEMICAL SUBSTANCE USED IN MANUFACTURING OF PE",FIH Mauritius Investments Ltd,Mauritius,0.17,0.00,Received in the Company,
250,FAIRCHEM ORGANICS LIMITED,MAHARASHTRA,Thane,"MANUFACTURE OF VARIOUS OTHER CHEMICAL PRODUCTS N.E.C.(ANTIKNOCK PREPARATIONS, ANTI-FREEZE PREPARATIONS, LIQUIDS FOR HYDRAULIC TRANSMISSION, COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, WRITING OR DRAWING INK, CHEMICAL SUBSTANCE USED IN
MANUFACTURING OF PE",FIH Mauritius Investments Ltd,Mauritius,"1,341.42",18.24,Received in the Company,
251,Fairsun Solar Private Limited,Maharashtra,Mumbai,Electric power generation using solar energy,CLEANTECH INDIA OA PTE. LTD,Singapore,0.82,0.01,Greenfield,
252,FARMART SERVICE PRIVATE LIMITED,UTTAR PRADESH,Lucknow,"Other supporting activities including agricultural gardening (excluding parks
and gardening activities), n.e.c.",ON Mauritius,Mauritius,12.53,0.17,"Received in the
Company",
253,FEYNMAN TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Tilt Mobility Inc,U.S.A,0.05,0.00,Received in the Company,
254,FINCARE SMALL FINANCE BANK LIMITED,GUJARAT,Ahmedabad,"Other financial service activities, except insurance and pension funding activities,",Amethyst Inclusion Pte. Ltd,Singapore,248.01,3.33,Received in the,
,,,,n.e.c.,,,,,Company,
255,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Multiple Buyers,Singapore,10.04,0.13,Received in the Company,
256,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Jungle Ventures III Investment Holding Pte Ltd,Singapore,90.54,1.22,Received in the Company,
257,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,JV-HPC SPV Singapore Pte Ltd,Singapore,7.74,0.10,Received in the Company,
258,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,JV-HPC SPV 2 Singapore Pte Ltd,Singapore,4.92,0.07,Received in the Company,
259,FINTECH BLUE SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,JV-HPC SPV Singapore Pte Ltd,Singapore,7.37,0.10,Received in the Company,
260,"FINTECH BLUE SOLUTIONS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,JV-HPC SPV 2 Singapore Pte Ltd,Singapore,5.16,0.07,"Received in the
Company",
261,Flaresun Solar Private Limited,MAHARASHTRA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte Ltd,Singapore,0.80,0.01,Greenfield,
262,FLEETX TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,BEENEXT EMERGING ASIA PTE LTD,Singapore,1.60,0.02,Received in the Company,
